INCNO,CAD_CODE,PRIORITY,Inc_Type,IncDesc,ZONE,ZIP,INC_DATE,ActionCode,ActionDesc,FixPropUse,PropLoss,PropValue,PropSaved,IncTypeDesc,Civ_Inj,Civ_Fatal,FS_Inj,FS_Fatal,ObjectId
2019000253,33C1T,3,300,"RESCUE, EMS INCIDENT, OTHER",151,68510,34:00.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,1
2019000051,STILL,1,300,"RESCUE, EMS INCIDENT, OTHER",115,68527,52:05.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,2
2019000304,13C1,3,300,"RESCUE, EMS INCIDENT, OTHER",02EL18,0,58:33.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,3
2019000254,17A2G,1,300,"RESCUE, EMS INCIDENT, OTHER",5,68528,42:02.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,4
2019000255,31A2,1,300,"RESCUE, EMS INCIDENT, OTHER",3,68508,42:04.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,5
2019000256,30A2,1,300,"RESCUE, EMS INCIDENT, OTHER",53,68508,50:31.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,6
2019000052,12A2,1,300,"RESCUE, EMS INCIDENT, OTHER",202,68512,56:03.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,7
2019000257,29B1,2,300,"RESCUE, EMS INCIDENT, OTHER",152,68510,11:02.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,8
2019000053,ECHO,5,300,"RESCUE, EMS INCIDENT, OTHER",103,68527,04:29.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,9
2019000258,26A2,1,300,"RESCUE, EMS INCIDENT, OTHER",2,68503,32:28.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,10
2019000054,26B1,2,300,"RESCUE, EMS INCIDENT, OTHER",02MC28,0,06:27.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,11
2019000259,6D2E,4,300,"RESCUE, EMS INCIDENT, OTHER",52,68510,11:45.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,12
2019000055,SPECDUTY,1,611,DISPATCHED & CANCELED EN ROUTE,31,68504,10:20.0,93,CANCELLED EN ROUTE,NULL,NULL,NULL,NULL,NULL,0,0,0,0,13
2019000260,25B6V,2,300,"RESCUE, EMS INCIDENT, OTHER",31,68504,00:13.0,300,"RESCUE, EMS INCIDENT, OTHER",NULL,NULL,NULL,NULL,NULL,0,0,0,0,14
