RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B9-000032,1546300800000,115,S 34 at SCOTTSDALE LN,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1
B9-002986,1547164800000,1514,S 37 at VAN DORN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2
B9-003276,1547251200000,1110,"ADAMS,N 3 to N 4",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,3
B9-000673,1546473600000,1750,"NEBR HWY,S 87 to S 91",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,4
B9-000080,1546300800000,9999,"S 21,GARFIELD to WASHINGTON",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,5
B9-000098,1546300800000,9999,"D,S 11 to S 12",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,6
B9-000106,1546300800000,9999,"N MAIN,W DAWES to W SAUNDERS",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,7
B9-000116,1546300800000,9999,"SUMNER,S 13 to S 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,8
B9-000125,1546300800000,1255,"O,56 to COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,9
B9-000135,1546300800000,1340,"I 80,NW 12 to HOMESTEAD EXP",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,10
B9-000148,1546300800000,1436,"O,48 to 50",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,11
B9-002989,1547078400000,9999,"HILL ST,S 10 to S 11",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,12
B9-000678,1546473600000,1804,S 84 at PIONEERS,INJURY,TURNING,3,3,NO,NO,NO,NO,NO,NO,NO,13
B9-000165,1546300800000,1600,860 S 39 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,14
B9-002993,1547164800000,9999,UNKNOWN at -,NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,15
B9-000697,1546473600000,1915,"O,27 to 28",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,16
B9-000199,1546300800000,2000,N 20 at BENTON,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,17
B9-003008,1547164800000,1600,"S 56,A to MARGO",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,18
B9-000805,1546560000000,552,"VINE,N 66 to N COTNER",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,19
B9-000206,1546300800000,2035,"CAPITOL PKWY,E to S 27",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,20
B9-003009,1547164800000,1539,"S 56,LOWELL to PRESCOTT",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,21
B9-000807,1546560000000,635,"N 70,HOOK to N COTNER",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,22
B9-000267,1546387200000,9999,"S 11,HIGH to VAN DORN",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,23
B9-003025,1547164800000,1645,"N 48,VINE to W",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,24
B9-000817,1546560000000,810,"S 40,NEBR HWY to SWEETBRIAR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,25
B9-000279,1546387200000,9999,"PAWNEE,S 16 to S 17",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,26
B9-003043,1547164800000,1720,"J,S 28 to S 29",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,27
B9-000827,1546560000000,852,"SUMNER,S 16 to S 17",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,28
B9-000282,1546387200000,920,"S 27,EVERETT to WASHINGTON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,29
B9-003045,1547164800000,1725,"SOUTH,S 26 to SHERIDAN",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,30
B9-000858,1546560000000,1037,N 56 at HOLDREGE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,31
B9-000859,1546560000000,1039,"S 27,NEBR HWY to WOODS BLVD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,32
B9-003046,1547164800000,1725,"NEBR HWY,S 20 to SOUTHWOOD DR",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,33
B9-000283,1546387200000,700,3101 N HILL RD at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,34
B9-003048,1547164800000,1715,5010 O at HY-VEE,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,35
B9-000865,1546560000000,1108,18 at O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,36
B9-000291,1546387200000,9999,"GLYNOAKS CT,DEAD END to S 77",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,37
B9-003054,1547164800000,1802,S 13 at M,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,38
B9-000874,1546300800000,2314,7151 STACY LN at HYVEE PARK LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,39
B9-003277,1547251200000,1130,"S 27,A to WASHINGTON",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,40
B9-000294,1546214400000,1000,850 Q at PARKING GARAGE,NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,41
B9-000877,1546560000000,1140,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,42
B9-003074,1547164800000,1905,NW 16 at W S,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,43
B9-003285,1547251200000,1151,N 63 at ADAMS,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,44
B9-000298,1546387200000,9999,"N 52,BENTON to FREMONT",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,45
B9-000886,1546560000000,1210,"S 70,L to S WEDGEWOOD",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,46
B9-000893,1546128000000,1540,"N COTNER,N 62 to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,47
B9-000919,1546560000000,9999,"K,S 16 to S 17",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,48
B9-000928,1546560000000,1445,6500 YORKTOWN CT at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,49
B9-000930,1546560000000,1454,2801 PINE LAKE at -,NON-INJ H&R,,3,0,NO,NO,NO,NO,NO,NO,NO,50
B9-000941,1546560000000,1543,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,51
B9-000945,1546560000000,1549,"O,10 to 9",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,52
B9-000957,1546560000000,1618,FLETCHER at ROCKFORD DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,53
B9-000989,1546560000000,1730,"S 56,LONDON to OLD CHENEY",INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,54
B9-000997,1546560000000,1757,2310 N 1 at CORNHUSKER BOTTL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,55
B9-001007,1546560000000,1827,"N 27,CLEVELAND to CORNHUSKER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,56
B9-001017,1546560000000,1850,"S 17,HARWOOD to SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,57
B9-001033,1546560000000,1945,"N COTNER,FAIRFAX to HOLDREGE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,58
B9-001057,1546560000000,2105,"HWY 34,I 80 to W FLETCHER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,59
B9-001065,1546560000000,2158,"O,40 to 42",NON-INJ,SIDE SWIPE,1,0,NO,NO,NO,NO,NO,NO,NO,60
B9-001161,1546646400000,9999,2146 POND CIR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,61
B9-001165,1546646400000,9999,"ADAMS,N 70 to SHIRLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,62
B9-001177,1546646400000,1005,S FOLSOM at W PIONEERS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,63
B9-001194,1546646400000,9999,1300 N 66 at COOK'S CAFE,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,64
B9-001199,1546041600000,9999,"N 11,BUTLER to FURNAS",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,65
B9-001201,1546646400000,1152,"S 40,FRANKLIN to SOUTH",INJURY,DRIVEWAY,3,1,NO,NO,NO,NO,NO,NO,NO,66
B9-001205,1546646400000,1206,8325 KARL RIDGE at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,67
B9-001225,1546646400000,1349,"SANDALWOOD,REDWOOD DR to TEAKWOOD",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,68
B9-001226,1546646400000,1347,"NEBR HWY,OLD CHENEY to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,69
B9-001231,1546646400000,1431,"S 33,PAWNEE to VAN DORN",INJURY,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,70
B9-001247,1546646400000,1525,PINE LAKE at RIDGE RD,INJURY,TURNING,3,5,NO,NO,NO,NO,NO,YES,NO,71
B9-001249,1546646400000,1525,"S 84,KATHY to AUGUSTA DR",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,72
B9-001253,1546646400000,1550,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,73
B9-001254,1546646400000,1600,S 17 at L,NON-INJ,RIGHT ANGLE,4,0,NO,NO,NO,NO,NO,YES,NO,74
B9-001292,1546646400000,1800,"W A,SW 1 to SW 5",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,75
B9-001330,1546646400000,2115,N 27 at FLETCHER,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,76
B9-001345,1546732800000,2224,48 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,77
B9-001369,1546646400000,2355,6500 O ST at MCDONALDS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,78
B9-001457,1546732800000,1048,PIONEERS at STACY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,79
B9-001477,1546732800000,1251,HWY 77 at CORNHUSKER,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,80
B9-001494,1546732800000,1325,"S 16,GARFIELD to SUMNER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,81
B9-001527,1546732800000,1625,S 6 at B,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,82
B9-001552,1546732800000,1739,S 16 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,83
B9-004280,1547510400000,1752,S 47 at VAN DORN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,84
B9-003756,1547424000000,746,"S 52,L to LENOX",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,85
B9-000316,1546387200000,1146,"CAPITOL PKWY,E to S 27",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,86
B9-000324,1546300800000,1500,"S 49,NEWTON to SOUTH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,87
B9-000331,1546387200000,1247,"VAN DORN,S 40 to S 41",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,88
B9-000338,1546387200000,1245,3400 N 85 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,89
B9-000339,1546387200000,1308,"S 70,L to S WEDGEWOOD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,90
B9-000349,1546387200000,1353,"N ANTELOPE VALL,SALT CREEK RDWY to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,91
B9-000354,1546387200000,1436,"N 48,PIERCE to SUPERIOR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,92
B9-000376,1546387200000,9999,"SUPERIOR,N 40 to N 44",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,93
B9-000391,1546387200000,1545,"N 48,R to VINE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,94
B9-000395,1546387200000,1614,"S 56,MYRTLE to NORMAL",NON-INJ,DRIVEWAY,3,0,NO,NO,NO,NO,NO,NO,NO,95
B9-000398,1546387200000,9999,"CORNHUSKER,HAVELOCK to HWY 77",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,96
B9-000403,1546387200000,1632,N 68 at BALLARD,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,97
B9-000427,1546387200000,1748,"S 84,WENDELL WAY to OLD CHENEY",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,98
B9-000431,1546387200000,9999,"S 56,EDGEWOOD to SHADY CREEK",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,99
B9-000438,1546387200000,1748,"S 84,WENDELL WAY to OLD CHENEY",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,NO,NO,100
B9-000455,1546387200000,9999,"SW 12,W LAKE to PATTERSON DR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,101
B9-000461,1546387200000,9999,340 VICTORY LN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,102
B9-000484,1546387200000,2114,S 48 at CALVERT,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,103
B9-000537,1546473600000,655,"PORTER RIDGE,S 28 to S 29",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,104
B9-000558,1546387200000,9999,"N 70,O to P",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,105
B9-000565,1546473600000,955,N 68 at MORRILL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,106
B9-000576,1546473600000,1050,"S 48,BRYSON to VALLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,107
B9-000586,1546128000000,9999,N ANTELOPE VALL at N 17,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,YES,NO,108
B9-000598,1546473600000,9999,"S 39,F to RANDOLPH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,109
B9-000603,1546473600000,1310,S 9 at VAN DORN,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,110
B9-000610,1546473600000,1338,N 48 at ADAMS,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,NO,NO,111
B9-000622,1546473600000,1415,"NORMAL,S 56 to S 58",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,112
B9-000629,1546473600000,1457,1301 SOUTH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,113
B9-000637,1546473600000,1522,"N 27,CLINTON to HOLDREGE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,114
B9-000649,1546473600000,1613,"CATTAIL,KINGBIRD to DEAD END",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,YES,NO,115
B9-000653,1546473600000,1631,"PINE LAKE,RIDGE RD to S 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,116
